Cell Number,Average Cell Weight (g),Standard Deviation (g)
1.0,46.97764568867391,0.006251284435418234
2.0,46.94553552767187,0.005427862637593549
3.0,46.81039452424063,0.022121790147361924
4.0,47.03837900479997,0.010292163418227543
5.0,46.90887202478014,0.00460496551227086
6.0,46.98478117379968,0.007225823482835252
7.0,47.023948981087926,0.04188908824713053
8.0,46.92228560318221,0.008855238949879015
9.0,46.62260060145709,0.007531168665189711
10.0,46.86266789889568,0.008404195204826761
11.0,46.8735733809499,0.005951671295068824
12.0,46.841484744067536,0.005593630218321453
13.0,46.67106810050822,0.004210043467316258
14.0,46.841148411899965,0.0861142680756824
15.0,46.97397088056677,0.034834627708394045
16.0,46.85819345114414,0.007308186118514324
17.0,47.08473865868568,0.005624244970733267
18.0,46.9316360872586,0.00663876784228844
19.0,47.09188805214511,0.00677207804632802
20.0,46.9306589658162,0.005421529174961064
21.0,47.046294055928605,0.07471611247101127
22.0,46.70325640854639,0.006620169234816679
23.0,46.800894236527256,0.006034353943153573
24.0,46.77805803797499,0.007166942769474896
25.0,46.98279364900885,0.17111638033971205
26.0,47.11375421223918,0.010137217725016636
27.0,46.88999163094859,0.008809193012128643
28.0,46.96196335965101,0.0035472067998877014
29.0,46.95061676589526,0.29437059656081477
30.0,46.51614416846869,0.00857407454606236
31.0,46.71322079960022,0.006064485496737315
32.0,46.59295448822977,0.09642198310528059
33.0,46.892128057159326,0.006694398152711408
34.0,46.7951379548971,0.005436823009694075
35.0,46.82717568249986,0.005328486106216819
36.0,46.88690775977739,0.007459670181749482
37.0,46.58398030540166,0.005997827314275907
38.0,46.85184145460065,0.004384002660173197
39.0,46.74179661220722,0.004947606101931371
40.0,46.85782434179163,0.005221663298697766
41.0,47.02719993568884,0.005939205619206899
42.0,46.959092939950246,0.07974303798465389
43.0,46.60934138380171,0.00643631186854299
44.0,47.04139013445531,0.0054628484356703064
45.0,46.8633164510778,0.10115131349682668
46.0,47.12487786988847,0.006171625664925802
47.0,46.903212292930576,0.0070876892053818195
48.0,46.93954766878137,0.006731730355794553
49.0,46.77755707337373,0.0073428056887646686
50.0,46.76700439917332,0.007237049320672321
51.0,46.874430283815926,0.00495369735044757
52.0,46.72834246873972,0.14181666828636064
53.0,46.625457371014896,0.008484196597753584
54.0,46.816785405117635,0.008759091533125237
55.0,46.74421582583023,0.009171865689377267
56.0,47.15730632721568,0.00611106266238637
57.0,46.850243899358475,0.006662421975359233
58.0,46.55264283697311,0.009183683666210567
59.0,46.72183407009664,0.006586519385976909
60.0,46.8665743043231,0.006888804391054757
61.0,46.822855855343825,0.0074440308811730945
62.0,47.126107587510376,0.005193725265577698
63.0,46.612289509997545,0.006569897789652136
64.0,46.65805767440272,0.006737938673713393
65.0,46.541759325217924,0.006025317671683684
66.0,46.885252914042105,0.006090054689855168
67.0,46.98791330700951,0.004807867626533678
68.0,46.96635931445473,0.00677750407347194
69.0,46.73194423454638,0.0065637979811043945
70.0,46.9418046777091,0.006915850600477104
71.0,46.749172503558306,0.0050228316631688455
72.0,46.7728347314544,0.005456503079620355
73.0,46.90373411669289,0.006063862164976616
