Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
9.645,,,157.0,157.0,157.0
150.233,,,,,
208.955,,,,,
210.767,,,164.0,164.0,164.0
409.44300000000004,,,182.0,175.0,178.5
609.487,,,186.0,182.0,184.0
759.183,1435873.0,12426939.0,,,
950.5310000000001,,,187.0,202.0,194.5
1149.91,,,,,
1151.754,,,209.0,209.0,209.0
1208.701,,,,,
1350.476,,,209.0,217.0,213.0
1609.1470000000002,,,230.0,223.0,226.5
1809.16,,,230.0,237.0,233.5
2009.125,,,248.0,245.0,246.5
2149.728,,,,,
2208.519,,,,,
2210.304,,,257.0,254.0,255.5
2408.924,,,270.0,261.0,265.5
2607.028,1432448.0,16934253.0,,,
2608.936,,,279.0,270.0,274.5
2808.882,,,293.0,275.0,284.0
3149.4959999999996,,,,,
3208.2870000000003,,,,,
3349.9759999999997,,,311.0,306.0,308.5
3549.875,,,308.0,320.0,314.0
3749.883,,,326.0,329.0,327.5
4008.572,,,348.0,341.0,344.5
4149.481,,,,,
4208.272,,,,,
4210.326,,,360.0,347.0,353.5
4408.460999999999,,,369.0,356.0,362.5
4455.710999999999,1431221.0,21419272.0,,,
4608.494000000001,,,368.0,371.0,369.5
4808.377,,,383.0,375.0,379.0
5008.397,,,392.0,392.0,392.0
5149.017,,,,,
5207.808,,,,,
5209.590999999999,,,407.0,464.0,435.5
5549.444,,,420.0,418.0,419.0
5749.424,,,433.0,447.0,440.0
5949.294,,,432.0,359.0,395.5
6148.781,,,,,
6207.529,,,,,
6209.438,,,452.0,466.0,459.0
6302.411,1423630.0,37383031.0,,,
6408.126,,,472.0,464.0,468.0
6608.0830000000005,,,485.0,563.0,524.0
6808.0419999999995,,,514.0,502.0,508.0
7007.99,,,511.0,594.0,552.5
7148.556,,,,,
7207.304,,,,,
7209.108,,,527.0,502.0,514.5
7407.733,,,544.0,550.0,547.0
7948.888000000001,,,589.0,600.0,594.5
8148.285,,,,,
8150.106,,,574.0,570.0,572.0
