Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
6.011,,,0.0,0.0,0.0
71.415,,,,,
171.753,,,,,
190.34400000000002,,,,,
206.301,,,,,
272.063,,,,,
372.26800000000003,,,,,
472.543,,,,,
572.3290000000001,,,,,
605.955,,,0.0,0.0,0.0
672.3560000000001,,,,,
772.3860000000001,,,,,
805.9069999999999,,,0.0,0.0,0.0
872.416,,,,,
889.0160000000001,1437154.0,332906.0,,,
972.6460000000001,,,,,
1005.8560000000001,,,0.0,0.0,0.0
1072.9260000000002,,,,,
1172.8039999999999,,,,,
1189.951,,,,,
1205.9080000000001,,,,,
1207.198,,,0.0,0.0,0.0
1272.829,,,,,
1372.86,,,,,
1405.8670000000002,,,0.0,0.0,0.0
1472.942,,,,,
1605.8139999999999,,,0.0,0.0,0.0
1805.745,,,0.0,0.0,0.0
2005.759,,,0.0,0.0,0.0
2189.826,,,,,
2205.783,,,,,
2207.0820000000003,,,0.0,0.0,0.0
2405.762,,,0.0,0.0,0.0
2740.428,1434105.0,7234213.0,,,
3005.585,,,27.0,27.0,27.0
3189.545,,,,,
3205.502,,,,,
3206.89,,,34.0,40.0,37.0
3405.572,,,43.0,52.0,47.5
3605.474,,,60.0,62.0,61.0
3805.49,,,64.0,74.0,69.0
4005.433,,,80.0,85.0,82.5
4189.33,,,,,
4205.501,,,,,
4207.209,,,85.0,93.0,89.0
4405.447,,,95.0,104.0,99.5
4587.598,1432921.0,9589398.0,,,
4605.337,,,106.0,114.0,110.0
4805.282,,,118.0,120.0,119.0
5189.129,,,,,
5205.044,,,,,
5206.627,,,114.0,135.0,124.5
5405.303000000001,,,133.0,133.0,133.0
5605.193,,,133.0,144.0,138.5
5805.15,,,136.0,146.0,141.0
6005.149,,,152.0,159.0,155.5
6188.891,,,,,
6204.763000000001,,,,,
6206.4,,,163.0,170.0,166.5
6405.16,,,169.0,177.0,173.0
6434.001,1431609.0,11948013.0,,,
6605.103,,,176.0,187.0,181.5
6805.016,,,182.0,197.0,189.5
7004.9619999999995,,,200.0,207.0,203.5
7188.5830000000005,,,,,
7204.54,,,,,
7604.915,,,221.0,236.0,228.5
7804.945,,,235.0,248.0,241.5
8004.8240000000005,,,244.0,263.0,253.5
8188.275,,,,,
8204.275,,,,,
8206.058,,,263.0,270.0,266.5
8283.135,1429213.0,15667799.0,,,
8404.746,,,271.0,283.0,277.0
8604.633,,,281.0,294.0,287.5
8804.648000000001,,,295.0,298.0,296.5
9004.6,,,299.0,314.0,306.5
9188.114,,,,,
9204.071,,,,,
9206.322,,,311.0,322.0,316.5
9404.542,,,311.0,330.0,320.5
9823.306,,,340.0,346.0,343.0
10004.416,,,355.0,359.0,357.0
10129.497,1427068.0,18935854.0,,,
10187.87,,,,,
10203.87,,,,,
10205.671999999999,,,356.0,364.0,360.0
10404.348,,,370.0,379.0,374.5
10604.303999999998,,,377.0,387.0,382.0
10804.264,,,378.0,393.0,385.5
11004.214,,,403.0,402.0,402.5
11187.607,,,,,
11203.565,,,,,
11205.377,,,409.0,455.0,432.0
11404.078000000001,,,416.0,408.0,412.0
11604.035,,,428.0,488.0,458.0
11977.981000000002,1425925.0,21395556.0,,,
12187.442,,,,,
12203.357,,,,,
12205.133999999998,,,443.0,567.0,505.0
12403.836000000001,,,459.0,547.0,503.0
12603.792,,,477.0,505.0,491.0
12803.756000000001,,,490.0,464.0,477.0
13003.696000000002,,,518.0,503.0,510.5
13187.243,,,,,
13203.2,,,,,
13204.973,,,447.0,501.0,474.0
13403.642,,,520.0,528.0,524.0
13603.596000000001,,,554.0,556.0,555.0
13803.553999999998,,,514.0,512.0,513.0
13828.15,828446.0,24568159.0,,,
14003.505,,,594.0,559.0,576.5
14187.219,,,,,
14203.176000000001,,,,,
14603.452,,,483.0,532.0,507.5
14803.393999999998,,,580.0,570.0,575.0
15003.348,,,552.0,581.0,566.5
15186.729,,,,,
15202.686000000002,,,,,
15204.469,,,578.0,589.0,583.5
15403.15,,,563.0,570.0,566.5
15603.094,,,551.0,592.0,571.5
15672.86,1422070.0,28754572.0,,,
15803.059,,,673.0,628.0,650.5
16003.024,,,609.0,632.0,620.5
16186.546999999999,,,,,
16202.503999999999,,,,,
16204.181,,,610.0,619.0,614.5
16802.778000000002,,,675.0,633.0,654.0
17002.723,,,576.0,678.0,627.0
17186.372,,,,,
17202.328999999998,,,,,
17203.95,,,583.0,655.0,619.0
17402.625,,,727.0,662.0,694.5
17523.691000000003,1421075.0,29532986.0,,,
17602.589,,,657.0,664.0,660.5
17802.561999999998,,,667.0,703.0,685.0
18002.522,,,683.0,694.0,688.5
18186.064,,,,,
18201.978,,,,,
18203.805,,,783.0,683.0,733.0
18402.476000000002,,,698.0,746.0,722.0
18602.425,,,683.0,729.0,706.0
19186.074,,,,,
19201.988999999998,,,,,
19203.971999999998,,,744.0,741.0,742.5
19368.656000000003,1413200.0,44327458.0,,,
19402.188000000002,,,748.0,750.0,749.0
19602.131,,,726.0,815.0,770.5
19802.09,,,755.0,813.0,784.0
20002.037,,,819.0,786.0,802.5
20185.566000000003,,,,,
20201.523,,,,,
20203.326,,,724.0,786.0,755.0
20402.016,,,754.0,831.0,792.5
20601.975,,,829.0,813.0,821.0
20801.924,,,793.0,854.0,823.5
21185.411,,,,,
21201.368,,,,,
21216.581000000002,1409538.0,51617139.0,,,
21401.767000000003,,,726.0,869.0,797.5
21601.725,,,767.0,889.0,828.0
