Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
132.524,,,,,
134.54,,,0.0,0.0,0.0
148.39600000000002,,,,,
332.68699999999995,,,0.0,0.0,0.0
732.592,,,0.0,0.0,0.0
911.055,,,,,
948.438,,,0.0,0.0,0.0
1011.086,,,,,
1111.213,,,,,
1132.2939999999999,,,,,
1148.165,,,,,
1149.8210000000001,,,0.0,0.0,0.0
1211.491,,,,,
1311.724,,,,,
1348.5079999999998,,,0.0,0.0,0.0
1411.509,,,,,
1511.5410000000002,,,,,
1548.441,,,0.0,0.0,0.0
1611.5710000000001,,,,,
1638.7979999999998,1436838.0,329378.0,,,
1711.8,,,,,
1748.408,,,0.0,0.0,0.0
1812.024,,,,,
1912.2979999999998,,,,,
1948.3029999999999,,,0.0,0.0,0.0
2012.0839999999998,,,,,
2112.214,,,,,
2132.006,,,,,
2147.7929999999997,,,,,
2149.618,,,0.0,0.0,0.0
2212.244,,,,,
2312.304,,,,,
2348.305,,,0.0,0.0,0.0
2412.577,,,,,
2548.26,,,0.0,0.0,0.0
2748.264,,,0.0,0.0,0.0
3131.76,,,,,
3147.675,,,,,
3348.177,,,0.0,0.0,0.0
3486.886,1434719.0,3851498.0,,,
3548.11,,,5.0,4.0,4.5
3747.995,,,11.0,8.0,9.5
3947.946,,,25.0,21.0,23.0
4131.483,,,,,
4147.397,,,,,
4149.204000000001,,,32.0,33.0,32.5
4347.913,,,40.0,43.0,41.5
4547.866,,,57.0,52.0,54.5
4747.755,,,61.0,61.0,61.0
4947.773,,,78.0,71.0,74.5
5131.333,,,,,
5147.418,,,,,
5334.8369999999995,1431761.0,10333414.0,,,
5547.521,,,106.0,95.0,100.5
5747.485,,,114.0,106.0,110.0
5947.485,,,118.0,116.0,117.0
6131.113,,,,,
6146.985,,,,,
6148.7390000000005,,,127.0,126.0,126.5
6347.424,,,138.0,135.0,136.5
6547.388000000001,,,150.0,145.0,147.5
6747.289000000001,,,164.0,154.0,159.0
6947.286999999999,,,171.0,159.0,165.0
7130.8369999999995,,,,,
7146.7080000000005,,,,,
7148.433000000001,,,175.0,163.0,169.0
7184.536,1431694.0,10002027.0,,,
7347.071999999999,,,181.0,175.0,178.0
7946.94,,,215.0,195.0,205.0
8130.571999999999,,,,,
8146.443,,,,,
8148.312,,,207.0,204.0,205.5
8346.942,,,223.0,209.0,216.0
8546.895,,,228.0,215.0,221.5
8746.924,,,228.0,220.0,224.0
8946.802,,,240.0,223.0,231.5
9030.803,1432034.0,8665062.0,,,
9130.394,,,,,
9146.266,,,,,
9148.115,,,250.0,232.0,241.0
9346.821,,,250.0,236.0,243.0
9546.708,,,251.0,242.0,246.5
10130.166,,,,,
10146.038,,,,,
10148.257,,,273.0,260.0,266.5
10346.5,,,279.0,266.0,272.5
10546.383999999998,,,286.0,273.0,279.5
10746.399,,,298.0,277.0,287.5
10884.63,1431556.0,10011680.0,,,
10946.36,,,309.0,286.0,297.5
11129.858999999999,,,,,
11145.731000000002,,,,,
11147.558,,,314.0,292.0,303.0
11346.246000000001,,,314.0,295.0,304.5
11546.202,,,326.0,302.0,314.0
11746.159,,,328.0,307.0,317.5
11946.103000000001,,,333.0,316.0,324.5
12129.701000000001,,,,,
12145.487,,,,,
12545.938999999998,,,359.0,331.0,345.0
12726.99,1430812.0,11128243.0,,,
12745.951000000001,,,358.0,338.0,348.0
12945.903999999999,,,366.0,343.0,354.5
13129.454,,,,,
13145.326000000001,,,,,
13147.148000000001,,,374.0,351.0,362.5
13345.764,,,367.0,355.0,361.0
13545.726999999999,,,374.0,363.0,368.5
13745.678,,,382.0,371.0,376.5
13945.63,,,408.0,367.0,387.5
14129.207,,,,,
14145.121000000001,,,,,
14146.856000000002,,,428.0,365.0,396.5
14574.999,1430141.0,13016850.0,,,
14745.455,,,409.0,389.0,399.0
14945.344,,,379.0,394.0,386.5
15129.232,,,,,
15144.89,,,,,
15147.118,,,409.0,396.0,402.5
15345.329,,,431.0,399.0,415.0
15545.235,,,431.0,398.0,414.5
15745.268999999998,,,451.0,396.0,423.5
15945.202,,,479.0,435.0,457.0
16128.745,,,,,
16144.66,,,,,
16146.391000000001,,,429.0,439.0,434.0
16345.067,,,494.0,399.0,446.5
16423.02,1427975.0,15271340.0,,,
16545.023999999998,,,473.0,425.0,449.0
17128.48,,,,,
17144.352,,,,,
17146.137,,,492.0,426.0,459.0
17344.843999999997,,,448.0,464.0,456.0
17544.8,,,482.0,443.0,462.5
17744.758,,,496.0,462.0,479.0
17944.707,,,481.0,451.0,466.0
18128.303,,,,,
18144.217,,,,,
18145.916,,,472.0,470.0,471.0
18271.865,1427552.0,15659910.0,,,
18344.59,,,515.0,461.0,488.0
18544.541,,,482.0,486.0,484.0
18744.51,,,476.0,477.0,476.5
18944.468999999997,,,509.0,481.0,495.0
19128.038,,,,,
19143.91,,,,,
19344.365,,,488.0,505.0,496.5
19544.317,,,452.0,507.0,479.5
19744.26,,,434.0,490.0,462.0
19944.218,,,494.0,503.0,498.5
20121.754,1427821.0,17572135.0,,,
20128.116,,,,,
20143.988,,,,,
20145.996,,,505.0,525.0,515.0
20344.221999999998,,,529.0,514.0,521.5
20544.176,,,500.0,541.0,520.5
20744.126,,,507.0,517.0,512.0
20944.071,,,509.0,522.0,515.5
21127.653,,,,,
21143.523999999998,,,,,
21145.22,,,533.0,554.0,543.5
21743.812,,,530.0,568.0,549.0
21943.757,,,556.0,563.0,559.5
21967.322999999997,1416398.0,38595144.0,,,
22127.366,,,,,
22143.28,,,,,
22145.011000000002,,,588.0,553.0,570.5
22343.676,,,584.0,648.0,616.0
22543.63,,,600.0,667.0,633.5
22743.578999999998,,,566.0,686.0,626.0
22943.539,,,602.0,617.0,609.5
23127.057999999997,,,,,
23142.972999999998,,,,,
23144.765,,,616.0,655.0,635.5
23343.461,,,587.0,707.0,647.0
23543.408,,,575.0,675.0,625.0
23815.097999999998,1416995.0,34049953.0,,,
24126.865,,,,,
24142.737,,,,,
24144.535,,,659.0,696.0,677.5
24343.224,,,695.0,717.0,706.0
24543.189,,,622.0,764.0,693.0
24743.138,,,730.0,749.0,739.5
24943.085,,,719.0,751.0,735.0
25126.853,,,,,
25142.725,,,,,
25144.732000000004,,,733.0,724.0,728.5
25342.972999999998,,,747.0,751.0,749.0
25527.502,,,,,
25542.924,,,760.0,781.0,770.5
25627.645,,,,,
25663.065,1421012.0,29506281.0,,,
25727.946,,,,,
25742.887000000002,,,767.0,743.0,755.0
25828.161,,,,,
25928.438,,,,,
26028.222999999998,,,,,
26126.462000000003,,,,,
26128.152000000002,,,,,
26142.334,,,,,
26228.185,,,,,
26328.215,,,,,
26342.589,,,758.0,746.0,752.0
26428.373,,,,,
26528.679,,,,,
26542.61,,,758.0,752.0,755.0
26628.911,,,,,
26728.696,,,,,
26742.565,,,751.0,746.0,748.5
26828.728,,,,,
26928.757999999998,,,,,
26942.509,,,748.0,748.0,748.0
27028.892000000003,,,,,
27126.26,,,,,
27129.002999999997,,,,,
27142.132,,,,,
27143.65,,,744.0,737.0,740.5
27229.257999999998,,,,,
27329.543999999998,,,,,
27342.318,,,746.0,736.0,741.0
27429.317000000003,,,,,
27513.075,1433808.0,459179.0,,,
27529.347999999998,,,,,
27542.282000000003,,,745.0,727.0,736.0
27629.377999999997,,,,,
27729.447999999997,,,,,
27742.234,,,724.0,742.0,733.0
27829.731,,,,,
27929.908,,,,,
27942.195,,,722.0,720.0,721.0
28030.185,,,,,
28125.952999999998,,,,,
28129.869,,,,,
28141.867000000002,,,,,
28143.307,,,724.0,728.0,726.0
28229.898999999998,,,,,
28329.93,,,,,
28430.017000000003,,,,,
28530.28,,,,,
28630.587000000003,,,,,
28730.79,,,,,
