Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
38.896,,,,,
54.681999999999995,,,,,
57.155,,,0.0,0.0,0.0
95.59899999999999,,,,,
195.63,,,,,
255.3,,,0.0,0.0,0.0
295.661,,,,,
395.906,,,,,
455.25300000000004,,,0.0,0.0,0.0
496.22,,,,,
596.45,,,,,
616.745,1433766.0,333053.0,,,
655.203,,,0.0,0.0,0.0
696.24,,,,,
796.2689999999999,,,,,
855.22,,,0.0,0.0,0.0
896.299,,,,,
1038.629,,,,,
1054.4569999999999,,,,,
1056.4360000000001,,,0.0,0.0,0.0
1255.015,,,0.0,0.0,0.0
1854.808,,,2.0,0.0,1.0
2038.4470000000001,,,,,
2054.2329999999997,,,,,
2056.045,,,3.0,5.0,4.0
2254.683,,,14.0,15.0,14.5
2454.637,,,31.0,29.0,30.0
2462.4970000000003,1429090.0,9994726.0,,,
2654.638,,,43.0,40.0,41.5
2854.5959999999995,,,55.0,52.0,53.5
3038.2129999999997,,,,,
3053.9559999999997,,,,,
3055.795,,,70.0,66.0,68.0
3254.554,,,87.0,78.0,82.5
3454.511,,,91.0,92.0,91.5
3654.4709999999995,,,108.0,101.0,104.5
4037.962,,,,,
4039.8559999999998,,,134.0,716.0,425.0
4053.705,,,,,
4254.33,,,145.0,134.0,139.5
4310.696,1427019.0,14323778.0,,,
4454.284000000001,,,162.0,144.0,153.0
4654.174,,,163.0,159.0,161.0
4854.195,,,190.0,168.0,179.0
5037.978,,,,,
5053.721,,,,,
5055.844,,,191.0,182.0,186.5
5254.0019999999995,,,199.0,193.0,196.0
5453.889,,,215.0,210.0,212.5
5653.844,,,234.0,221.0,227.5
5853.791,,,232.0,234.0,233.0
6037.4980000000005,,,,,
6053.284000000001,,,,,
6158.7609999999995,1425009.0,17629269.0,,,
6453.785,,,273.0,276.0,274.5
6653.726,,,285.0,293.0,289.0
6853.606,,,294.0,308.0,301.0
7037.305,,,,,
7053.048000000001,,,,,
7054.894,,,300.0,314.0,307.0
7253.5109999999995,,,312.0,333.0,322.5
7453.518,,,333.0,343.0,338.0
7653.486,,,334.0,360.0,347.0
7853.436,,,350.0,368.0,359.0
8008.401999999999,1422851.0,21673778.0,,,
8037.081,,,,,
8052.781,,,,,
8054.557,,,354.0,374.0,364.0
8253.351,,,373.0,394.0,383.5
8853.253,,,403.0,472.0,437.5
9036.845,,,,,
9052.631,,,,,
9054.468,,,411.0,432.0,421.5
9253.08,,,419.0,464.0,441.5
9453.025,,,434.0,496.0,465.0
9652.974,,,439.0,441.0,440.0
9852.938,,,462.0,395.0,428.5
9855.684000000001,1416866.0,31000928.0,,,
10036.854,,,,,
10052.639000000001,,,,,
10054.607,,,469.0,512.0,490.5
10252.811,,,497.0,443.0,470.0
10452.764000000001,,,497.0,533.0,515.0
11036.336000000001,,,,,
11052.122,,,,,
11053.923,,,568.0,570.0,569.0
11252.669,,,555.0,536.0,545.5
11452.61,,,548.0,582.0,565.0
11652.568000000001,,,602.0,561.0,581.5
11703.191,1416393.0,34797448.0,,,
11852.513,,,541.0,620.0,580.5
12036.153999999999,,,,,
12051.94,,,,,
12053.746000000001,,,622.0,592.0,607.0
12252.336000000001,,,614.0,630.0,622.0
12452.287,,,623.0,612.0,617.5
12652.281,,,644.0,627.0,635.5
12852.229,,,621.0,694.0,657.5
13035.9,,,,,
13051.686000000002,,,,,
13451.965,,,691.0,707.0,699.0
13553.671,1411030.0,40024572.0,,,
13651.903,,,692.0,664.0,678.0
13851.878999999999,,,644.0,698.0,671.0
14035.688,,,,,
14051.408000000001,,,,,
14053.063999999998,,,701.0,724.0,712.5
14251.666000000001,,,742.0,742.0,742.0
14451.616000000002,,,725.0,741.0,733.0
14651.572,,,758.0,761.0,759.5
14851.573,,,762.0,780.0,771.0
15035.667,,,,,
15051.41,,,,,
15053.201000000001,,,767.0,811.0,789.0
15400.508999999998,1410388.0,42015589.0,,,
15651.241000000002,,,816.0,860.0,838.0
15851.183,,,793.0,818.0,805.5
16035.186000000002,,,,,
16050.972,,,,,
16052.393999999998,,,835.0,846.0,840.5
16250.993999999999,,,814.0,849.0,831.5
16450.951,,,717.0,906.0,811.5
16650.902,,,828.0,875.0,851.5
16850.866,,,898.0,866.0,882.0
17034.973,,,,,
17050.716,,,,,
17052.063000000002,,,869.0,909.0,889.0
17246.645,1405631.0,48500298.0,,,
17250.66,,,836.0,918.0,877.0
17450.609,,,882.0,924.0,903.0
18034.749,,,,,
18050.492,,,,,
18051.744,,,964.0,946.0,955.0
18250.335,,,940.0,936.0,938.0
18450.295,,,929.0,954.0,941.5
18650.238,,,897.0,981.0,939.0
18850.18,,,954.0,975.0,964.5
19034.523999999998,,,,,
19050.31,,,,,
19051.393,,,989.0,1010.0,999.5
19095.991,1403508.0,59824639.0,,,
19250.0,,,958.0,996.0,977.0
19449.942,,,1014.0,1017.0,1015.5
19649.906000000003,,,1031.0,1025.0,1028.0
20034.505,,,,,
20050.248,,,,,
20249.659,,,1039.0,1069.0,1054.0
20449.606,,,1005.0,1057.0,1031.0
20649.57,,,1113.0,1103.0,1108.0
20808.986,,,,,
20849.52,,,1114.0,1105.0,1109.5
20909.265,,,,,
20942.531000000003,1390618.0,79574873.0,,,
21009.497000000003,,,,,
21034.023999999998,,,,,
21049.81,,,,,
21050.726000000002,,,1090.0,1087.0,1088.5
21109.182999999997,,,,,
21209.214,,,,,
21249.335,,,1088.0,1095.0,1091.5
21309.241,,,,,
21409.299,,,,,
21449.306,,,1099.0,1086.0,1092.5
21509.547000000002,,,,,
21609.333,,,,,
21649.259,,,1080.0,1078.0,1079.0
21709.363999999998,,,,,
21809.392000000003,,,,,
21849.211,,,1075.0,1068.0,1071.5
21909.438,,,,,
22009.651,,,,,
22033.842,,,,,
22049.627999999997,,,,,
22050.442000000003,,,1062.0,1063.0,1062.5
22109.997000000003,,,,,
22210.292999999998,,,,,
22310.507999999998,,,,,
22410.78,,,,,
22510.567000000003,,,,,
22610.6,,,,,
22649.093999999997,,,1051.0,1043.0,1047.0
22710.627,,,,,
22791.998,1428020.0,462364.0,,,
22810.707000000002,,,,,
22849.072999999997,,,1049.0,1034.0,1041.5
22911.0,,,,,
23010.754,,,,,
23033.59,,,,,
23049.376,,,,,
23050.281000000003,,,1037.0,1036.0,1036.5
23110.885,,,,,
23210.915,,,,,
23249.071,,,1024.0,1020.0,1022.0
23310.945,,,,,
23411.218999999997,,,,,
23449.022,,,1016.0,1015.0,1015.5
23511.007,,,,,
23611.037,,,,,
23648.975,,,1024.0,1008.0,1016.0
23711.065,,,,,
23811.097,,,,,
23848.922000000002,,,1001.0,1012.0,1006.5
23911.327,,,,,
24011.635,,,,,
24033.365,,,,,
24049.151,,,,,
24050.15,,,988.0,999.0,993.5
24111.766,,,,,
24211.554,,,,,
24248.737999999998,,,982.0,998.0,990.0
24311.584,,,,,
24411.613999999998,,,,,
24511.644,,,,,
24611.791,,,,,
24642.236,1429061.0,460943.0,,,
24712.066000000003,,,,,
24811.851000000002,,,,,
24848.532000000003,,,974.0,978.0,976.0
24911.882999999998,,,,,
25011.914,,,,,
25033.401,,,,,
25049.144,,,,,
25050.252999999997,,,967.0,952.0,959.5
25111.924,,,,,
25248.417999999998,,,948.0,958.0,953.0
25448.424,,,942.0,949.0,945.5
25648.379,,,941.0,936.0,938.5
25848.336,,,936.0,932.0,934.0
26032.92,,,,,
26048.706000000002,,,,,
26049.556,,,930.0,929.0,929.5
26248.257,,,921.0,911.0,916.0
26448.207000000002,,,917.0,921.0,919.0
26487.327,1429630.0,457758.0,,,
26648.101000000002,,,903.0,908.0,905.5
27032.645,,,,,
27048.43,,,,,
27248.004,,,882.0,881.0,881.5
27447.957000000002,,,858.0,862.0,860.0
27647.854,,,863.0,855.0,859.0
27847.873,,,848.0,837.0,842.5
28032.407000000003,,,,,
28048.193,,,,,
28049.077999999998,,,834.0,820.0,827.0
28247.807,,,805.0,790.0,797.5
28335.562,1430074.0,460845.0,,,
28447.825,,,778.0,775.0,776.5
28647.786,,,769.0,735.0,752.0
28847.721,,,731.0,710.0,720.5
29032.225,,,,,
29048.011000000002,,,,,
29048.935,,,715.0,683.0,699.0
29447.623,,,670.0,631.0,650.5
29647.647,,,641.0,604.0,622.5
29847.597,,,613.0,575.0,594.0
30032.141,,,,,
30047.927000000003,,,,,
30049.276,,,604.0,556.0,580.0
30185.257999999998,1430385.0,463442.0,,,
30247.597999999998,,,577.0,511.0,544.0
30447.537999999997,,,551.0,496.0,523.5
30647.511000000002,,,535.0,488.0,511.5
30847.46,,,503.0,444.0,473.5
31031.702999999998,,,,,
31047.488999999998,,,,,
31048.675,,,497.0,436.0,466.5
31247.472,,,468.0,397.0,432.5
31847.335,,,405.0,344.0,374.5
32031.455,,,,,
32032.362,1430644.0,458346.0,,,
32047.24,,,,,
32048.528,,,398.0,333.0,365.5
32247.326,,,386.0,322.0,354.0
32447.208,,,369.0,316.0,342.5
32647.232999999997,,,370.0,314.0,342.0
32847.122,,,358.0,312.0,335.0
33031.216,,,,,
33047.002,,,,,
33048.398,,,360.0,310.0,335.0
33247.19,,,363.0,308.0,335.5
33447.09,,,352.0,302.0,327.0
33647.034,,,363.0,305.0,334.0
33880.81,1430880.0,465108.0,,,
34030.992,,,,,
34046.692,,,,,
34247.002,,,366.0,299.0,332.5
34447.017,,,356.0,298.0,327.0
34646.907,,,360.0,294.0,327.0
34719.258,,,,,
34819.035,,,,,
34846.858,,,370.0,298.0,334.0
34919.062999999995,,,,,
35019.095,,,,,
35031.023,,,,,
35046.766,,,,,
35048.597,,,352.0,295.0,323.5
35119.257000000005,,,,,
35219.518,,,,,
35246.926,,,359.0,295.0,327.0
35319.718,,,,,
35419.505,,,,,
35446.827000000005,,,368.0,297.0,332.5
35519.536,,,,,
35619.567,,,,,
35646.823,,,362.0,297.0,329.5
35719.69,,,,,
35730.862,1431063.0,459669.0,,,
35819.888,,,,,
35846.782,,,348.0,293.0,320.5
35920.156,,,,,
36020.465,,,,,
36030.811,,,,,
36046.212999999996,,,,,
36047.929,,,362.0,291.0,326.5
36120.794,,,,,
