Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
157.405,,,260.0,257.0,258.5
357.30400000000003,,,266.0,272.0,269.0
553.7769999999999,1430851.0,21579551.0,,,
556.95,,,,,
558.9259999999999,,,276.0,286.0,281.0
623.25,,,,,
823.673,,,305.0,294.0,299.5
1023.671,,,319.0,308.0,313.5
1223.562,,,313.0,321.0,317.0
1423.594,,,341.0,331.0,336.0
1556.44,,,,,
1622.996,,,,,
1624.825,,,344.0,347.0,345.5
1823.5120000000002,,,367.0,353.0,360.0
2023.3970000000002,,,381.0,368.0,374.5
2356.84,,,369.0,394.0,381.5
2399.71,1429339.0,24535476.0,,,
2556.2,,,,,
2558.021,,,408.0,415.0,411.5
2622.7129999999997,,,,,
2756.728,,,399.0,491.0,445.0
2956.6940000000004,,,409.0,452.0,430.5
3223.127,,,443.0,504.0,473.5
3423.1279999999997,,,454.0,471.0,462.5
3555.975,,,,,
3622.531,,,,,
3624.316,,,474.0,469.0,471.5
3822.9559999999997,,,469.0,511.0,490.0
4022.9809999999998,,,490.0,507.0,498.5
4222.923,,,486.0,587.0,536.5
4248.275,1424848.0,30306059.0,,,
4422.874,,,464.0,439.0,451.5
4555.793,,,,,
4622.306,,,,,
4756.28,,,526.0,550.0,538.0
4956.245,,,536.0,516.0,526.0
5156.178,,,553.0,551.0,552.0
5422.682,,,588.0,536.0,562.0
5555.768,,,,,
5622.3240000000005,,,,,
5624.338000000001,,,586.0,543.0,564.5
5822.501,,,585.0,544.0,564.5
6022.512,,,625.0,615.0,620.0
6094.939,1417754.0,49204134.0,,,
6222.465999999999,,,624.0,604.0,614.0
6422.418000000001,,,643.0,663.0,653.0
6555.33,,,,,
6621.843000000001,,,,,
6623.661,,,683.0,680.0,681.5
7155.736999999999,,,651.0,756.0,703.5
7355.689,,,690.0,717.0,703.5
7555.148,,,,,
7556.911999999999,,,695.0,718.0,706.5
7621.661999999999,,,,,
7822.121999999999,,,712.0,731.0,721.5
7942.603,1423421.0,31284638.0,,,
8022.137,,,722.0,655.0,688.5
8222.032,,,723.0,741.0,732.0
8422.049,,,737.0,753.0,745.0
8554.88,,,,,
8621.436,,,,,
8623.23,,,739.0,739.0,739.0
8821.94,,,744.0,761.0,752.5
9021.822,,,751.0,749.0,750.0
9355.216,,,760.0,764.0,762.0
9554.568000000001,,,,,
9556.46,,,770.0,725.0,747.5
9621.124,,,,,
9755.176,,,765.0,789.0,777.0
9790.931,1422139.0,32337060.0,,,
9955.119,,,774.0,784.0,779.0
10221.634,,,790.0,814.0,802.0
10421.693000000001,,,789.0,816.0,802.5
10554.544,,,,,
10621.1,,,,,
10623.286,,,805.0,805.0,805.0
10821.455,,,795.0,806.0,800.5
11021.413999999999,,,800.0,832.0,816.0
11221.423999999999,,,804.0,856.0,830.0
11421.368999999999,,,803.0,849.0,826.0
11554.106000000002,,,,,
11620.662,,,,,
11637.839,1423489.0,33789518.0,,,
11754.626,,,818.0,843.0,830.5
11954.601,,,819.0,850.0,834.5
12122.833999999999,,,,,
12154.545,,,831.0,828.0,829.5
12222.62,,,,,
12322.651000000002,,,,,
