Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
75.247,,,428.0,394.0,411.0
275.262,,,415.0,453.0,434.0
475.218,,,421.0,508.0,464.5
675.054,,,438.0,414.0,426.0
815.824,,,,,
874.573,,,,,
1216.162,,,474.0,509.0,491.5
1416.2020000000002,,,480.0,453.0,466.5
1597.7839999999999,1427104.0,29059744.0,,,
1616.1529999999998,,,480.0,489.0,484.5
1815.7920000000001,,,,,
1874.54,,,,,
1876.661,,,501.0,480.0,490.5
2074.861,,,515.0,550.0,532.5
2274.76,,,549.0,597.0,573.0
2474.781,,,529.0,625.0,577.0
2674.781,,,547.0,539.0,543.0
2815.3540000000003,,,,,
2874.1020000000003,,,,,
2875.975,,,574.0,529.0,551.5
3074.667,,,592.0,608.0,600.0
3415.822,,,606.0,579.0,592.5
3447.305,1425006.0,33641636.0,,,
3615.761,,,585.0,646.0,615.5
3815.1,,,,,
3816.9770000000003,,,673.0,584.0,628.5
3873.868,,,,,
4074.3520000000003,,,596.0,583.0,589.5
4274.377,,,645.0,598.0,621.5
4474.333,,,637.0,665.0,651.0
4674.215999999999,,,583.0,630.0,606.5
4814.907999999999,,,,,
4873.617,,,,,
4875.423,,,745.0,656.0,700.5
5074.054,,,616.0,661.0,638.5
5274.076,,,607.0,698.0,652.5
5297.2880000000005,1427132.0,37272634.0,,,
5474.024,,,663.0,695.0,679.0
5814.656999999999,,,,,
5816.414000000001,,,691.0,753.0,722.0
5873.406,,,,,
6015.12,,,617.0,766.0,691.5
6215.073,,,647.0,776.0,711.5
6473.759,,,736.0,738.0,737.0
6673.767,,,714.0,749.0,731.5
6814.646,,,,,
6873.394,,,,,
6875.446999999999,,,744.0,779.0,761.5
7073.654,,,675.0,757.0,716.0
7143.151999999999,1421944.0,45225824.0,,,
7273.611,,,725.0,778.0,751.5
7473.58,,,668.0,833.0,750.5
7673.501,,,780.0,806.0,793.0
7814.11,,,,,
7872.859,,,,,
7989.848000000001,,,,,
8014.654,,,804.0,812.0,808.0
8089.914000000001,,,,,
8189.967,,,,,
8214.619,,,753.0,818.0,785.5
8290.267,,,,,
8390.625,,,,,
8414.518,,,792.0,808.0,800.0
8490.791,,,,,
8591.089,,,,,
8673.328000000001,,,800.0,810.0,805.0
8691.382,,,,,
8791.655999999999,,,,,
8813.928,,,,,
8872.677,,,,,
8874.596,,,788.0,803.0,795.5
8891.440999999999,,,,,
8989.298,1441823.0,469224.0,,,
8991.474,,,,,
9073.282,,,778.0,793.0,785.5
9091.534,,,,,
9191.533000000001,,,,,
9273.254,,,773.0,798.0,785.5
9291.808,,,,,
9391.594000000001,,,,,
9473.138,,,773.0,778.0,775.5
9491.625,,,,,
9591.654,,,,,
9673.04,,,772.0,773.0,772.5
9691.585,,,,,
9791.86,,,,,
9813.704,,,,,
9872.452,,,,,
9874.266,,,770.0,758.0,764.0
9891.646,,,,,
9991.676,,,,,
10072.959,,,762.0,758.0,760.0
10091.708,,,,,
10191.756,,,,,
10292.177,,,,,
10392.36,,,,,
10414.106,,,752.0,748.0,750.0
10492.105,,,,,
10592.136999999999,,,,,
10614.008,,,751.0,743.0,747.0
10692.248,,,,,
10792.306,,,,,
10813.479,,,,,
10815.36,,,737.0,750.0,743.5
10837.178999999998,1442765.0,466284.0,,,
10872.228000000001,,,,,
10892.633999999998,,,,,
10992.841,,,,,
11072.792,,,727.0,731.0,729.0
11093.106000000002,,,,,
11193.389,,,,,
11272.76,,,721.0,711.0,716.0
11293.167,,,,,
11393.195,,,,,
11472.705,,,714.0,712.0,713.0
11493.223999999998,,,,,
11593.284,,,,,
11672.589,,,692.0,701.0,696.5
11693.499,,,,,
11793.275,,,,,
11813.511,,,,,
11872.258999999998,,,,,
11874.295,,,691.0,690.0,690.5
11893.306999999999,,,,,
11993.338,,,,,
12072.493999999999,,,686.0,689.0,687.5
12093.386999999999,,,,,
12193.686000000002,,,,,
12272.376,,,680.0,682.0,681.0
12293.898000000001,,,,,
12394.166000000001,,,,,
12494.454,,,,,
12594.226999999999,,,,,
12613.606000000002,,,675.0,673.0,674.0
12684.992,1443202.0,467999.0,,,
12694.258,,,,,
12794.291000000001,,,,,
12813.073,,,,,
12814.841,,,671.0,653.0,662.0
12871.821000000002,,,,,
12894.421999999999,,,,,
12994.732,,,,,
13013.452,,,667.0,665.0,666.0
13094.936000000002,,,,,
13195.201000000001,,,,,
13213.466999999999,,,641.0,653.0,647.0
13295.503,,,,,
13395.249,,,,,
13472.163999999999,,,634.0,651.0,642.5
13495.281,,,,,
13595.311000000002,,,,,
13672.216999999999,,,637.0,637.0,637.0
13695.436000000002,,,,,
13795.745,,,,,
13812.848999999998,,,,,
13871.597,,,,,
13873.431999999999,,,630.0,630.0,630.0
13895.946000000002,,,,,
13996.214,,,,,
14072.116000000002,,,615.0,630.0,622.5
14096.521999999999,,,,,
14196.723,,,,,
14272.081,,,616.0,607.0,611.5
14296.997,,,,,
14396.788,,,,,
14472.033000000001,,,600.0,622.0,611.0
14496.817,,,,,
14535.615,1443483.0,463001.0,,,
14596.847,,,,,
14671.925,,,598.0,606.0,602.0
14696.813,,,,,
14797.042,,,,,
14812.617,,,,,
14871.365,,,,,
14897.351,,,,,
14997.583999999999,,,,,
15013.071000000002,,,588.0,589.0,588.5
15097.371000000001,,,,,
15197.398000000001,,,,,
15213.034,,,582.0,586.0,584.0
15297.431,,,,,
15397.483999999999,,,,,
15412.969,,,575.0,588.0,581.5
15497.706,,,,,
15597.978000000001,,,,,
15671.765,,,567.0,565.0,566.0
15697.848,,,,,
15797.882,,,,,
15812.316,,,,,
15871.063999999998,,,,,
15873.0,,,573.0,569.0,571.0
15897.91,,,,,
15997.993,,,,,
16071.685,,,549.0,552.0,550.5
16098.257,,,,,
16198.568000000001,,,,,
16271.559,,,547.0,548.0,547.5
16298.77,,,,,
16381.014,1443721.0,467803.0,,,
16399.043,,,,,
16471.577,,,549.0,536.0,542.5
16498.832,,,,,
16598.86,,,,,
16671.45,,,542.0,541.0,541.5
16698.803,,,,,
16798.846999999998,,,,,
16812.34,,,,,
16871.045,,,,,
16873.147,,,543.0,530.0,536.5
16899.102,,,,,
16999.385,,,,,
17071.349,,,535.0,538.0,536.5
17099.161,,,,,
17199.194,,,,,
17299.224,,,,,
17399.255,,,,,
17412.514,,,522.0,530.0,526.0
17499.502,,,,,
17599.715,,,,,
17612.465,,,521.0,504.0,512.5
17700.009,,,,,
17799.795,,,,,
17811.859,,,,,
17813.726000000002,,,508.0,504.0,506.0
17870.608,,,,,
17899.823,,,,,
17999.855,,,,,
18071.139,,,492.0,498.0,495.0
18099.886000000002,,,,,
18200.073,,,,,
18228.423,1443881.0,463491.0,,,
18271.096,,,498.0,507.0,502.5
18300.381,,,,,
18400.609,,,,,
18471.049,,,493.0,496.0,494.5
18500.841,,,,,
18601.151,,,,,
18671.002,,,492.0,480.0,486.0
18701.383,,,,,
18801.168,,,,,
18811.635,,,,,
18870.383,,,,,
18872.224,,,488.0,478.0,483.0
18901.233,,,,,
19001.229,,,,,
19070.832,,,469.0,484.0,476.5
19101.311,,,,,
19201.523999999998,,,,,
19270.808,,,466.0,472.0,469.0
19301.781000000003,,,,,
19402.066000000003,,,,,
19501.84,,,,,
19601.873,,,,,
19611.951,,,464.0,449.0,456.5
19701.927,,,,,
