Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
53.672,,,,,
131.44899999999998,,,0.0,0.0,0.0
153.702,,,,,
253.90599999999998,,,,,
331.463,,,0.0,0.0,0.0
354.17900000000003,,,,,
454.467,,,,,
464.231,,,,,
530.8290000000001,,,,,
532.627,,,0.0,0.0,0.0
554.183,,,,,
654.215,,,,,
731.253,,,0.0,0.0,0.0
754.243,,,,,
854.273,,,,,
931.275,,,0.0,0.0,0.0
954.585,,,,,
1054.792,,,,,
1131.22,,,0.0,0.0,0.0
1155.067,,,,,
1331.1170000000002,,,0.0,0.0,0.0
1464.001,,,,,
1530.515,,,,,
1664.569,,,0.0,0.0,0.0
1839.055,1438809.0,1005627.0,,,
1864.46,,,0.0,0.0,0.0
2064.448,,,0.0,3.0,1.5
2330.938,,,0.0,4.0,2.0
2463.7470000000003,,,,,
2530.192,,,,,
2532.1020000000003,,,11.0,11.0,11.0
2730.87,,,24.0,19.0,21.5
2930.8140000000003,,,37.0,31.0,34.0
3130.7870000000003,,,46.0,42.0,44.0
3330.66,,,68.0,53.0,60.5
3463.51,,,,,
3530.0229999999997,,,,,
3531.8990000000003,,,69.0,67.0,68.0
3685.512,1433994.0,11742115.0,,,
3864.026,,,86.0,90.0,88.0
4063.9759999999997,,,89.0,96.0,92.5
4263.933,,,104.0,106.0,105.0
4463.241,,,,,
4465.191,,,111.0,116.0,113.5
4529.754,,,,,
4730.335999999999,,,133.0,124.0,128.5
4930.331,,,143.0,133.0,138.0
5130.218,,,149.0,142.0,145.5
5330.25,,,156.0,148.0,152.0
5462.974,,,,,
5529.571999999999,,,,,
5531.512,,,160.0,156.0,158.0
5535.2080000000005,1435630.0,7567952.0,,,
5730.151,,,166.0,163.0,164.5
5930.104,,,175.0,175.0,175.0
6263.5380000000005,,,190.0,188.0,189.0
6463.048000000001,,,,,
6465.094,,,193.0,199.0,196.0
6529.348000000001,,,,,
6663.355,,,206.0,208.0,207.0
6929.826,,,224.0,218.0,221.0
7129.785,,,224.0,224.0,224.0
7329.728,,,239.0,235.0,237.0
7381.691,1433455.0,11752650.0,,,
7462.59,,,,,
7529.103,,,,,
7530.909000000001,,,249.0,246.0,247.5
7729.598000000001,,,258.0,252.0,255.0
7929.5,,,262.0,263.0,262.5
8129.443,,,267.0,269.0,268.0
8462.347,,,,,
8464.18,,,274.0,286.0,280.0
8528.86,,,,,
8662.827,,,286.0,295.0,290.5
8862.778,,,300.0,301.0,300.5
9062.792,,,306.0,311.0,308.5
9231.344000000001,1432105.0,13738816.0,,,
9329.21,,,306.0,314.0,310.0
9462.095,,,,,
9528.608,,,,,
9530.571,,,324.0,322.0,323.0
9729.119,,,328.0,331.0,329.5
9929.069,,,327.0,335.0,331.0
10129.134,,,344.0,344.0,344.0
10328.973,,,338.0,348.0,343.0
10461.871,,,,,
10528.427,,,,,
10530.229,,,358.0,357.0,357.5
10862.274,,,353.0,368.0,360.5
11062.222,,,367.0,380.0,373.5
11077.983,1432243.0,13389103.0,,,
11262.22,,,377.0,384.0,380.5
11461.898000000001,,,,,
11528.198,,,,,
11728.741000000002,,,468.0,395.0,431.5
11928.653999999999,,,417.0,395.0,406.0
12128.608999999999,,,392.0,404.0,398.0
12328.563,,,427.0,447.0,437.0
12461.46,,,,,
12527.973999999998,,,,,
12529.844,,,429.0,432.0,430.5
12728.473,,,434.0,443.0,438.5
12925.7,1427689.0,24855495.0,,,
13061.927,,,443.0,444.0,443.5
13261.888,,,451.0,489.0,470.0
13461.236,,,,,
13463.077,,,461.0,484.0,472.5
13527.792,,,,,
13661.785,,,471.0,474.0,472.5
13928.288999999999,,,492.0,534.0,513.0
14128.236,,,507.0,589.0,548.0
14328.176000000001,,,505.0,549.0,527.0
14460.923,,,,,
14527.479,,,,,
14529.285,,,527.0,548.0,537.5
14727.997,,,541.0,575.0,558.0
14774.742,1419324.0,33063877.0,,,
14927.87,,,546.0,578.0,562.0
15127.893,,,560.0,525.0,542.5
15460.678,,,,,
15462.472,,,582.0,593.0,587.5
15527.233999999999,,,,,
15661.183,,,558.0,633.0,595.5
15861.141000000001,,,594.0,624.0,609.0
16061.095,,,1978.0,683.0,1330.5
16261.046,,,629.0,676.0,652.5
16460.752,,,,,
16462.621,,,526.0,680.0,603.0
16527.265,,,,,
16622.971,1413057.0,45364445.0,,,
16660.856,,,582.0,739.0,660.5
16860.797,,,688.0,660.0,674.0
17060.763,,,675.0,688.0,681.5
17260.716,,,682.0,722.0,702.0
17460.499,,,,,
17526.756,,,,,
17860.474,,,739.0,750.0,744.5
18060.432,,,781.0,792.0,786.5
18260.397,,,700.0,804.0,752.0
18460.002,,,,,
18469.277,1420217.0,30251816.0,,,
18526.558,,,,,
18528.052,,,764.0,779.0,771.5
18726.765,,,761.0,794.0,777.5
18926.724,,,771.0,828.0,799.5
19126.67,,,773.0,803.0,788.0
19326.628,,,779.0,789.0,784.0
19459.778000000002,,,,,
19526.334,,,,,
19527.738999999998,,,782.0,848.0,815.0
19726.439,,,795.0,810.0,802.5
20059.744,,,796.0,805.0,800.5
20259.705,,,803.0,823.0,813.0
20317.099,1418670.0,33381054.0,,,
20459.502,,,,,
20460.81,,,809.0,831.0,820.0
20526.101000000002,,,,,
20659.511000000002,,,810.0,810.0,810.0
20925.985,,,818.0,852.0,835.0
21068.304,,,,,
21126.002,,,823.0,846.0,834.5
21168.332000000002,,,,,
21268.363999999998,,,,,
21325.97,,,821.0,831.0,826.0
21368.593999999997,,,,,
21459.534,,,,,
21468.786,,,,,
21526.132,,,,,
21527.533,,,824.0,820.0,822.0
21569.019,,,,,
21668.804,,,,,
21725.702,,,822.0,818.0,820.0
21768.835,,,,,
21868.862999999998,,,,,
21925.652000000002,,,820.0,810.0,815.0
21968.953999999998,,,,,
22069.156000000003,,,,,
22125.662,,,815.0,804.0,809.5
22167.714,1435522.0,473095.0,,,
22169.432,,,,,
22269.222,,,,,
22369.25,,,,,
22459.096,,,,,
22460.186,,,806.0,796.0,801.0
22469.18,,,,,
22525.652000000002,,,,,
22569.21,,,,,
22658.881,,,786.0,797.0,791.5
22669.451,,,,,
22769.76,,,,,
22858.828999999998,,,786.0,787.0,786.5
22869.993,,,,,
22969.777000000002,,,,,
23069.807999999997,,,,,
23125.281000000003,,,767.0,773.0,770.0
23169.838,,,,,
23270.002,,,,,
23325.291,,,774.0,781.0,777.5
23370.213,,,,,
23458.822999999997,,,,,
23470.389,,,,,
23525.379,,,,,
23526.405,,,770.0,773.0,771.5
23570.174,,,,,
23670.205,,,,,
23725.11,,,764.0,764.0,764.0
23770.235,,,,,
23870.284,,,,,
23924.993,,,743.0,746.0,744.5
23970.558999999997,,,,,
24012.752999999997,1436286.0,474516.0,,,
24070.347,,,,,
24125.006,,,748.0,751.0,749.5
24170.376,,,,,
24270.409,,,,,
24324.953999999998,,,741.0,750.0,745.5
24370.438,,,,,
24458.612,,,,,
24470.57,,,,,
24525.197,,,,,
24570.88,,,,,
24658.196,,,734.0,735.0,734.5
24671.096,,,,,
24771.352000000003,,,,,
24858.152000000002,,,723.0,719.0,721.0
24871.66,,,,,
24971.877,,,,,
25058.116,,,717.0,713.0,715.0
25072.131,,,,,
25172.416,,,,,
25257.998,,,712.0,712.0,712.0
25272.193,,,,,
25372.221,,,,,
25458.387000000002,,,,,
25472.187,,,,,
25524.943,,,,,
25525.732999999997,,,699.0,706.0,702.5
25572.187,,,,,
25672.487,,,,,
25724.427000000003,,,690.0,705.0,697.5
25772.72,,,,,
25860.463,1436738.0,464030.0,,,
25872.507,,,,,
25924.388,,,691.0,691.0,691.0
25972.536,,,,,
26072.564,,,,,
26124.338,,,686.0,681.0,683.5
26172.615,,,,,
26272.862999999998,,,,,
26324.225,,,667.0,686.0,676.5
26373.129,,,,,
26458.354,,,,,
26473.514,,,,,
26524.952,,,,,
26526.078999999998,,,679.0,675.0,677.0
26573.29,,,,,
26673.319,,,,,
26724.292999999998,,,671.0,670.0,670.5
26773.349,,,,,
26873.377,,,,,
26973.664,,,,,
27057.646,,,658.0,650.0,654.0
27073.439,,,,,
27173.467999999997,,,,,
27257.602000000003,,,656.0,642.0,649.0
27273.501,,,,,
27373.531000000003,,,,,
27457.881,,,,,
27458.901,,,642.0,639.0,640.5
27473.941000000003,,,,,
27524.437,,,,,
27574.151,,,,,
27674.428,,,,,
27708.605,1437038.0,466382.0,,,
27757.932999999997,,,638.0,642.0,640.0
27774.211,,,,,
27874.243,,,,,
27924.116,,,626.0,631.0,628.5
27974.273999999998,,,,,
28074.333,,,,,
28124.072999999997,,,620.0,629.0,624.5
28174.607999999997,,,,,
28274.395,,,,,
28323.972,,,620.0,629.0,624.5
28374.423,,,,,
28457.657000000003,,,,,
28474.556,,,,,
28524.255,,,,,
28525.342,,,607.0,607.0,607.0
28574.586,,,,,
28674.843999999997,,,,,
28723.963,,,618.0,617.0,617.5
28775.264,,,,,
28875.417,,,,,
28923.925,,,602.0,606.0,604.0
28975.691000000003,,,,,
29075.477000000003,,,,,
29123.939,,,591.0,595.0,593.0
29175.507,,,,,
29275.539,,,,,
29375.57,,,,,
29457.432,,,,,
29458.619,,,592.0,593.0,592.5
29475.941000000003,,,,,
29524.031000000003,,,,,
29556.879,1437257.0,470596.0,,,
29575.73,,,,,
29657.318,,,594.0,592.0,593.0
29675.761000000002,,,,,
29775.79,,,,,
29857.212000000003,,,577.0,578.0,577.5
29875.819,,,,,
29976.104,,,,,
30076.42,,,,,
30123.742000000002,,,572.0,577.0,574.5
30176.62,,,,,
30276.889,,,,,
30323.762000000002,,,565.0,584.0,574.5
30377.173,,,,,
30457.235,,,,,
30477.014,,,,,
30523.791,,,,,
30525.087000000003,,,560.0,560.0,560.0
30577.045,,,,,
30677.077,,,,,
30723.76,,,562.0,558.0,560.0
30777.106,,,,,
30877.406000000003,,,,,
30923.726000000002,,,548.0,542.0,545.0
30977.621,,,,,
31077.895,,,,,
31123.668999999998,,,540.0,548.0,544.0
31177.68,,,,,
31277.712000000003,,,,,
31323.62,,,524.0,537.0,530.5
31377.741,,,,,
31406.516,1437452.0,468146.0,,,
31457.218999999997,,,,,
31477.904,,,,,
31523.818,,,,,
31578.167999999998,,,,,
31657.055,,,519.0,530.0,524.5
31678.481,,,,,
31778.694,,,,,
31856.938,,,521.0,516.0,518.5
31878.95,,,,,
31979.262000000002,,,,,
32056.902000000002,,,511.0,509.0,510.0
32079.494,,,,,
32179.279,,,,,
32256.842999999997,,,513.0,492.0,502.5
32279.31,,,,,
32379.34,,,,,
32456.775,,,,,
32479.543999999998,,,,,
32523.374,,,,,
32524.81,,,490.0,502.0,496.0
32579.754,,,,,
32680.021,,,,,
32723.499,,,481.0,493.0,487.0
32780.307,,,,,
32880.083,,,,,
32923.446,,,485.0,482.0,483.5
32980.109,,,,,
33080.143,,,,,
33123.398,,,458.0,470.0,464.0
33180.174,,,,,
33253.359,1437600.0,466039.0,,,
33280.418,,,,,
33323.3,,,463.0,466.0,464.5
33380.619,,,,,
33456.457,,,,,
33480.997,,,,,
33523.055,,,,,
33524.675,,,461.0,456.0,458.5
33580.782999999996,,,,,
33680.812000000005,,,,,
33723.303,,,445.0,455.0,450.0
33780.844,,,,,
33880.871,,,,,
33981.12,,,,,
34056.693,,,447.0,445.0,446.0
