Time Offset [ms],voltage,current,vehicle_velocity_left,vehicle_velocity_right,average_velocity
184.39700000000002,,,285.0,364.0,324.5
341.744,1436829.0,10815868.0,,,
384.335,,,300.0,367.0,333.5
584.2959999999999,,,317.0,371.0,344.0
725.038,,,,,
783.829,,,,,
785.8810000000001,,,320.0,384.0,352.0
1125.2,,,331.0,398.0,364.5
1325.172,,,349.0,403.0,376.0
1525.158,,,359.0,397.0,378.0
1724.6,,,,,
1783.348,,,,,
1785.251,,,396.0,491.0,443.5
1983.951,,,413.0,470.0,441.5
2183.894,,,414.0,481.0,447.5
2188.155,1428489.0,24429979.0,,,
2383.7889999999998,,,435.0,434.0,434.5
2583.814,,,447.0,517.0,482.0
2724.328,,,,,
2783.119,,,,,
2785.05,,,454.0,442.0,448.0
2983.717,,,481.0,464.0,472.5
3324.833,,,481.0,486.0,483.5
3524.7790000000005,,,494.0,584.0,539.0
3724.06,,,,,
3726.035,,,507.0,468.0,487.5
3782.8509999999997,,,,,
3983.51,,,535.0,595.0,565.0
4037.355,1421973.0,35391034.0,,,
4183.476,,,551.0,490.0,520.5
4383.424,,,557.0,577.0,567.0
4583.374,,,565.0,541.0,553.0
4723.835,,,,,
4782.626,,,,,
4784.492,,,589.0,478.0,533.5
4983.183,,,597.0,635.0,616.0
5183.148,,,621.0,638.0,629.5
5383.08,,,625.0,616.0,620.5
5723.866999999999,,,,,
5725.936,,,579.0,617.0,598.0
5782.658,,,,,
5883.446,1421600.0,39850181.0,,,
5924.181,,,616.0,664.0,640.0
6124.111999999999,,,685.0,679.0,682.0
6382.9490000000005,,,659.0,650.0,654.5
6582.871999999999,,,600.0,683.0,641.5
6723.427,,,,,
6782.218000000001,,,,,
6784.044,,,624.0,718.0,671.0
6982.73,,,751.0,709.0,730.0
7182.6669999999995,,,648.0,681.0,664.5
7382.624,,,759.0,715.0,737.0
7582.575,,,778.0,744.0,761.0
7723.201999999999,,,,,
7731.045999999999,1418806.0,44564814.0,,,
7781.993,,,,,
7923.691999999999,,,727.0,774.0,750.5
8123.6669999999995,,,592.0,794.0,693.0
8323.605,,,779.0,810.0,794.5
8523.556999999999,,,706.0,820.0,763.0
8722.968,,,,,
8781.716,,,,,
8783.591,,,807.0,841.0,824.0
8982.255,,,743.0,823.0,783.0
9182.226,,,772.0,868.0,820.0
9382.187,,,777.0,864.0,820.5
9579.112,1414032.0,54599671.0,,,
9582.126,,,773.0,855.0,814.0
9722.743,,,,,
9781.492,,,,,
9783.415,,,868.0,884.0,876.0
9982.029,,,881.0,900.0,890.5
10323.215,,,803.0,912.0,857.5
10523.167,,,910.0,940.0,925.0
10722.746000000001,,,,,
10724.761,,,948.0,955.0,951.5
10781.537,,,,,
10981.767,,,918.0,969.0,943.5
11054.586000000001,,,,,
11154.618999999999,,,,,
11181.722,,,919.0,951.0,935.0
11254.648000000001,,,,,
11354.973,,,,,
11381.618999999999,,,935.0,936.0,935.5
11426.296,1436698.0,58217684.0,,,
11454.726,,,,,
11554.753,,,,,
11581.64,,,948.0,941.0,944.5
11654.776000000002,,,,,
11722.236,,,,,
11754.806999999999,,,,,
11781.027,,,,,
11782.876,,,941.0,942.0,941.5
11855.083,,,,,
11954.866000000002,,,,,
11981.57,,,932.0,941.0,936.5
12054.9,,,,,
12154.927,,,,,
12181.506000000001,,,929.0,931.0,930.0
12254.956,,,,,
12355.235,,,,,
12381.466,,,922.0,927.0,924.5
12455.017,,,,,
12555.046999999999,,,,,
12655.113000000001,,,,,
12722.024,,,,,
12723.878999999999,,,913.0,913.0,913.0
12755.237,,,,,
12780.845,,,,,
12855.506000000001,,,,,
12922.515,,,911.0,898.0,904.5
12955.822,,,,,
13056.052,,,,,
13122.464,,,905.0,903.0,904.0
13155.839,,,,,
13255.868999999999,,,,,
13274.203000000001,1438493.0,474075.0,,,
13355.896999999999,,,,,
13381.267,,,884.0,880.0,882.0
13456.003999999999,,,,,
13556.212,,,,,
13581.222,,,892.0,871.0,881.5
13656.478000000001,,,,,
13721.8,,,,,
13756.761999999999,,,,,
13780.591,,,,,
13782.431,,,878.0,871.0,874.5
13856.537,,,,,
13956.566,,,,,
13981.128,,,871.0,875.0,873.0
14056.598,,,,,
14156.626,,,,,
14181.077,,,862.0,859.0,860.5
14256.918,,,,,
14357.15,,,,,
14380.963,,,852.0,852.0,852.0
14456.936000000002,,,,,
14556.963,,,,,
14580.976999999999,,,840.0,859.0,849.5
14656.957,,,,,
14721.563,,,,,
14757.123,,,,,
14780.354,,,,,
14857.338,,,,,
14922.069,,,844.0,843.0,843.5
14957.61,,,,,
15057.892,,,,,
15121.745,1439230.0,441980.0,,,
15122.067,,,832.0,835.0,833.5
15157.666000000001,,,,,
15257.698,,,,,
15321.979,,,819.0,823.0,821.0
15357.728000000001,,,,,
15457.758,,,,,
15558.043,,,,,
15580.718,,,807.0,823.0,815.0
15657.846000000001,,,,,
15721.595,,,,,
15757.913,,,,,
15780.386,,,,,
15782.433,,,815.0,815.0,815.0
15857.907,,,,,
15957.938999999998,,,,,
15980.576000000001,,,796.0,813.0,804.5
16058.191,,,,,
16158.425,,,,,
16180.541000000001,,,796.0,796.0,796.0
16258.21,,,,,
16358.239,,,,,
16380.546,,,781.0,802.0,791.5
16458.272,,,,,
16558.462,,,,,
16580.51,,,781.0,792.0,786.5
16658.703999999998,,,,,
16721.148999999998,,,,,
16758.493000000002,,,,,
16779.94,,,,,
16781.748,,,772.0,790.0,781.0
16858.521,,,,,
16958.549,,,,,
16969.527,1439733.0,459816.0,,,
16980.429,,,774.0,773.0,773.5
17058.58,,,,,
17158.742,,,,,
17258.977,,,,,
17321.483,,,766.0,755.0,760.5
17359.276,,,,,
17459.471999999998,,,,,
17521.493000000002,,,747.0,753.0,750.0
17720.857,,,,,
17722.724,,,753.0,747.0,750.0
17779.605,,,,,
17980.174,,,748.0,752.0,750.0
18180.064,,,744.0,745.0,744.5
18380.026,,,732.0,731.0,731.5
18579.98,,,723.0,728.0,725.5
18720.587,,,,,
18779.378,,,,,
18781.237,,,714.0,718.0,716.0
18819.913,1440062.0,472262.0,,,
18979.921000000002,,,712.0,714.0,713.0
19179.88,,,690.0,695.0,692.5
19379.82,,,676.0,683.0,679.5
19720.363,,,,,
19722.249,,,658.0,654.0,656.0
19779.154,,,,,
19920.893,,,649.0,644.0,646.5
20120.831000000002,,,627.0,609.0,618.0
20379.633,,,580.0,584.0,582.0
20579.587,,,559.0,570.0,564.5
20664.64,1440332.0,479122.0,,,
20720.394,,,,,
20779.185,,,,,
20781.183,,,545.0,550.0,547.5
20979.395,,,526.0,531.0,528.5
21179.36,,,506.0,503.0,504.5
21379.308999999997,,,485.0,485.0,485.0
21579.282000000003,,,460.0,464.0,462.0
21719.956000000002,,,,,
21778.747000000003,,,,,
21920.217999999997,,,433.0,413.0,423.0
22120.237999999998,,,422.0,406.0,414.0
22320.13,,,401.0,391.0,396.0
22512.067000000003,1440556.0,453299.0,,,
22578.876,,,375.0,383.0,379.0
22719.732000000004,,,,,
22778.522999999997,,,,,
22780.052000000003,,,351.0,358.0,354.5
22978.722999999998,,,340.0,328.0,334.0
23178.62,,,325.0,304.0,314.5
23378.565,,,309.0,288.0,298.5
23578.517000000003,,,291.0,266.0,278.5
23719.433999999997,,,,,
23778.14,,,,,
23779.65,,,272.0,252.0,262.0
23978.394,,,264.0,238.0,251.0
24319.51,,,255.0,211.0,233.0
24359.534,1440731.0,461972.0,,,
24519.471,,,237.0,198.0,217.5
24719.252999999997,,,,,
24720.593999999997,,,233.0,196.0,214.5
24778.001,,,,,
