Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
2754.583,810.0,848.0,829.0
2956.366,811.0,826.0,818.5
3154.6,806.0,813.0,809.5
3354.574,800.0,805.0,802.5
3695.7129999999997,791.0,802.0,796.5
3897.014,785.0,794.0,789.5
4095.708,785.0,791.0,788.0
4354.365,773.0,788.0,780.5
4554.379,766.0,770.0,768.0
4754.348,769.0,763.0,766.0
4955.664000000001,753.0,768.0,760.5
5154.333,749.0,742.0,745.5
5354.299,739.0,741.0,740.0
5554.255999999999,738.0,740.0,739.0
5754.134,726.0,727.0,726.5
6095.437,722.0,728.0,725.0
6295.3859999999995,718.0,710.0,714.0
6495.340999999999,713.0,709.0,711.0
6754.0019999999995,695.0,698.0,696.5
6955.403,695.0,696.0,695.5
7154.063,684.0,681.0,682.5
7354.16,676.0,682.0,679.0
7553.983,675.0,678.0,676.5
7753.874,662.0,672.0,667.0
7955.735,653.0,655.0,654.0
8295.118,651.0,638.0,644.5
8495.08,628.0,645.0,636.5
8695.028,638.0,627.0,632.5
8955.122,618.0,620.0,619.0
9153.798,618.0,628.0,623.0
9353.753,601.0,602.0,601.5
9553.712,602.0,600.0,601.0
9753.665,600.0,593.0,596.5
9955.008,588.0,598.0,593.0
10153.684000000001,589.0,585.0,587.0
10353.562,580.0,578.0,579.0
10694.693000000001,576.0,560.0,568.0
10895.997,570.0,573.0,571.5
11094.623,559.0,566.0,562.5
11353.421999999999,540.0,558.0,549.0
11553.368999999999,545.0,561.0,553.0
11753.313999999998,546.0,536.0,541.0
11954.628,536.0,539.0,537.5
12153.233,528.0,539.0,533.5
12353.25,531.0,518.0,524.5
12553.23,516.0,527.0,521.5
12753.169,520.0,0.0,260.0
13094.188,510.0,505.0,507.5
13294.142,493.0,500.0,496.5
13494.093,493.0,493.0,493.0
13752.833999999999,482.0,484.0,483.0
13954.079,466.0,470.0,468.0
14152.684,461.0,466.0,463.5
14352.691,454.0,465.0,459.5
14552.652,444.0,442.0,443.0
14752.606000000002,444.0,437.0,440.5
14953.743,426.0,428.0,427.0
15293.596000000001,425.0,414.0,419.5
15493.556,411.0,406.0,408.5
15693.498,411.0,410.0,410.5
15953.608999999999,406.0,396.0,401.0
16152.283000000001,400.0,391.0,395.5
16352.226999999999,373.0,390.0,381.5
16552.183999999997,372.0,381.0,376.5
16752.077,381.0,373.0,377.0
16953.341,356.0,364.0,360.0
17151.968,352.0,353.0,352.5
17351.977,347.0,345.0,346.0
17693.111,336.0,333.0,334.5
17894.79,338.0,321.0,329.5
18092.943,323.0,318.0,320.5
