Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
10807.026000000002,691.0,692.0,691.5
11006.992,693.0,692.0,692.5
11208.288999999999,690.0,700.0,695.0
11406.886999999999,679.0,689.0,684.0
11606.901000000002,677.0,687.0,682.0
11806.865,675.0,669.0,672.0
12006.75,669.0,660.0,664.5
12208.021,661.0,659.0,660.0
12547.823,655.0,664.0,659.5
12747.787,640.0,656.0,648.0
12947.793,637.0,648.0,642.5
13207.782,617.0,634.0,625.5
13406.463,616.0,620.0,618.0
13606.421999999999,609.0,614.0,611.5
13806.377,621.0,624.0,622.5
14006.265,602.0,606.0,604.0
14208.035,596.0,593.0,594.5
14406.184,599.0,597.0,598.0
14747.393,578.0,587.0,582.5
14947.337,572.0,579.0,575.5
15148.528999999999,562.0,577.0,569.5
15405.928999999998,552.0,559.0,555.5
15605.942,548.0,550.0,549.0
15805.901000000002,543.0,547.0,545.0
16005.847,545.0,534.0,539.5
16207.08,523.0,537.0,530.0
16405.698,520.0,530.0,525.0
16605.714,517.0,518.0,517.5
16805.689,528.0,520.0,524.0
17148.071,507.0,516.0,511.5
17346.77,504.0,496.0,500.0
17546.672,515.0,501.0,508.0
17805.453999999998,481.0,495.0,488.0
18005.346,472.0,491.0,481.5
18206.584,475.0,472.0,473.5
18405.269,466.0,474.0,470.0
18605.166,460.0,462.0,461.0
18805.181,453.0,456.0,454.5
19005.087,455.0,448.0,451.5
19206.849,434.0,453.0,443.5
19546.256999999998,424.0,422.0,423.0
19746.197,432.0,430.0,431.0
19946.174,413.0,419.0,416.0
20206.113,409.0,418.0,413.5
20404.811,398.0,408.0,403.0
20604.696,390.0,403.0,396.5
20804.644,393.0,392.0,392.5
21004.6,387.0,391.0,389.0
21205.879,381.0,392.0,386.5
21404.572,379.0,376.0,377.5
21745.696,373.0,357.0,365.0
21945.66,377.0,372.0,374.5
22146.915,365.0,370.0,367.5
22404.369,352.0,352.0,352.0
22604.259,344.0,348.0,346.0
22804.279,341.0,343.0,342.0
23004.172000000002,330.0,338.0,334.0
23205.363999999998,337.0,331.0,334.0
23404.115,326.0,323.0,324.5
23604.0,316.0,320.0,318.0
23804.016,319.0,317.0,318.0
24146.759,309.0,301.0,305.0
24344.946,300.0,294.0,297.0
24544.952999999998,291.0,292.0,291.5
24803.63,278.0,287.0,282.5
25003.568,272.0,275.0,273.5
25204.777000000002,265.0,272.0,268.5
25403.38,254.0,264.0,259.0
25603.326,254.0,252.0,253.0
25803.285,248.0,247.0,247.5
26003.308999999997,246.0,245.0,245.5
26204.431,229.0,234.0,231.5
26544.235,227.0,221.0,224.0
26744.248,222.0,215.0,218.5
26944.202,210.0,208.0,209.0
27204.086,200.0,198.0,199.0
27402.781000000003,190.0,194.0,192.0
27602.662,188.0,185.0,186.5
27802.682999999997,178.0,177.0,177.5
28002.571,165.0,172.0,168.5
28203.754,163.0,165.0,164.0
28402.449,160.0,158.0,159.0
28743.513,153.0,142.0,147.5
28943.462000000003,147.0,136.0,141.5
29145.237999999998,140.0,130.0,135.0
29402.314,123.0,124.0,123.5
29602.266,112.0,117.0,114.5
29802.154,105.0,111.0,108.0
30002.101000000002,101.0,103.0,102.0
30203.277000000002,98.0,96.0,97.0
30401.977000000003,84.0,90.0,87.0
30601.923,83.0,81.0,82.0
30801.817000000003,73.0,78.0,75.5
31144.167,69.0,65.0,67.0
31342.805,59.0,57.0,58.0
31542.757,60.0,54.0,57.0
31801.547000000002,45.0,47.0,46.0
32001.509,42.0,40.0,41.0
32202.546000000002,33.0,36.0,34.5
32401.248,29.0,31.0,30.0
32601.21,22.0,26.0,24.0
32801.163,18.0,19.0,18.5
33001.122,17.0,18.0,17.5
33342.151,10.0,9.0,9.5
33542.106,7.0,1.0,4.0
33742.073,5.0,0.0,2.5
