Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
4854.514,699.0,708.0,703.5
5054.411,676.0,722.0,699.0
5255.65,685.0,709.0,697.0
5595.536999999999,700.0,709.0,704.5
5795.501,671.0,708.0,689.5
5995.385,683.0,704.0,693.5
6255.474,677.0,675.0,676.0
6454.161,677.0,683.0,680.0
6654.125,671.0,682.0,676.5
6854.005999999999,659.0,670.0,664.5
7054.02,654.0,655.0,654.5
7255.225,645.0,640.0,642.5
7453.843000000001,643.0,647.0,645.0
7994.986,638.0,632.0,635.0
8196.663,620.0,628.0,624.0
8394.864,617.0,627.0,622.0
8654.203000000001,618.0,607.0,612.5
8853.553,603.0,604.0,603.5
9053.579,600.0,597.0,598.5
9254.671999999999,595.0,591.0,593.0
9453.367,577.0,598.0,587.5
9653.339,569.0,585.0,577.0
9853.199,568.0,585.0,576.5
10195.723,566.0,570.0,568.0
10394.405999999999,563.0,553.0,558.0
10594.37,564.0,555.0,559.5
10853.034,536.0,544.0,540.0
11053.052,542.0,547.0,544.5
11254.231000000002,535.0,532.0,533.5
11452.839,526.0,540.0,533.0
11652.795,514.0,514.0,514.0
11852.735,525.0,530.0,527.5
12052.77,511.0,516.0,513.5
12254.075,506.0,514.0,510.0
12593.947,490.0,502.0,496.0
12793.89,495.0,485.0,490.0
12993.839,494.0,472.0,483.0
13254.22,474.0,477.0,475.5
13452.448999999999,461.0,462.0,461.5
13652.341,455.0,460.0,457.5
13852.356000000002,443.0,451.0,447.0
14052.303999999998,453.0,442.0,447.5
14253.498,446.0,445.0,445.5
14452.198,437.0,429.0,433.0
14793.321000000002,418.0,419.0,418.5
14993.266000000001,410.0,406.0,408.0
15194.583,407.0,419.0,413.0
15393.283000000001,396.0,404.0,400.0
15652.007,388.0,414.0,401.0
15851.893999999998,383.0,400.0,391.5
16051.906,384.0,396.0,390.0
16253.08,385.0,378.0,381.5
16451.765,366.0,384.0,375.0
16651.661,370.0,377.0,373.5
16851.668999999998,361.0,377.0,369.0
17194.019,355.0,352.0,353.5
17392.737,355.0,358.0,356.5
17592.723,345.0,343.0,344.0
17851.414,333.0,339.0,336.0
18051.314,336.0,332.0,334.0
18253.023999999998,324.0,322.0,323.0
18451.273,320.0,323.0,321.5
18651.146,321.0,318.0,319.5
18851.096,311.0,308.0,309.5
19051.046000000002,298.0,306.0,302.0
19252.391,296.0,301.0,298.5
19592.194,296.0,291.0,293.5
19792.146,292.0,285.0,288.5
19992.154,288.0,279.0,283.5
20252.063000000002,275.0,274.0,274.5
20450.758,268.0,267.0,267.5
20650.721,258.0,261.0,259.5
20850.598,246.0,255.0,250.5
21050.557,248.0,245.0,246.5
21251.898999999998,241.0,241.0,241.0
21450.539,234.0,235.0,234.5
21791.667999999998,223.0,222.0,222.5
21991.617000000002,225.0,215.0,220.0
22192.787,209.0,207.0,208.0
22650.218999999997,197.0,196.0,196.5
22850.192000000003,186.0,186.0,186.0
23050.196,174.0,183.0,178.5
23251.892000000003,175.0,175.0,175.0
23450.096,171.0,166.0,168.5
23650.049,158.0,157.0,157.5
23850.005,153.0,151.0,152.0
24192.385,145.0,141.0,143.0
24391.02,138.0,134.0,136.0
24590.979,132.0,126.0,129.0
24849.702,121.0,118.0,119.5
