Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
9310.193000000001,850.0,876.0,863.0
9508.868,846.0,859.0,852.5
9708.767,845.0,861.0,853.0
9908.718,842.0,842.0,842.0
10108.714,838.0,843.0,840.5
10309.931999999999,834.0,837.0,835.5
10508.604,826.0,822.0,824.0
10708.577,816.0,823.0,819.5
11057.561000000002,802.0,814.0,808.0
11259.312,798.0,790.0,794.0
11457.541000000001,795.0,787.0,791.0
11708.403999999999,775.0,778.0,776.5
11908.356000000002,777.0,785.0,781.0
12108.256000000001,767.0,762.0,764.5
12309.493999999999,757.0,763.0,760.0
12508.165,755.0,752.0,753.5
12708.123,743.0,760.0,751.5
12908.065,736.0,746.0,741.0
13456.987,726.0,718.0,722.0
13656.925,712.0,713.0,712.5
13907.792,698.0,706.0,702.0
14107.663999999999,698.0,709.0,703.5
14308.883999999998,692.0,692.0,692.0
14507.499,679.0,686.0,682.5
14707.444,675.0,687.0,681.0
14907.402,675.0,666.0,670.5
15107.329,667.0,664.0,665.5
15308.565,657.0,669.0,663.0
15656.266000000001,655.0,640.0,647.5
15856.222,648.0,634.0,641.0
16056.076000000001,643.0,645.0,644.0
16308.691,625.0,636.0,630.5
16506.9,617.0,627.0,622.0
16706.773999999998,611.0,611.0,611.0
16906.743000000002,608.0,614.0,611.0
17106.573,609.0,596.0,602.5
17307.89,596.0,589.0,592.5
17506.552,595.0,604.0,599.5
17706.494,580.0,581.0,580.5
18055.403000000002,583.0,570.0,576.5
18256.622,580.0,575.0,577.5
18524.997,561.0,556.0,558.5
18706.161,556.0,554.0,555.0
18906.067,538.0,551.0,544.5
19105.986,534.0,534.0,534.0
19307.225,535.0,536.0,535.5
19505.998,524.0,518.0,521.0
19705.854,518.0,512.0,515.0
19905.814,511.0,504.0,507.5
20274.69,489.0,481.0,485.0
20454.571,490.0,476.0,483.0
20654.588,485.0,475.0,480.0
20905.464,463.0,468.0,465.5
21105.315,462.0,456.0,459.0
21307.016,445.0,455.0,450.0
21505.272,444.0,448.0,446.0
21705.213,438.0,446.0,442.0
21905.161,427.0,430.0,428.5
