Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
25542.924,760.0,781.0,770.5
25742.887000000002,767.0,743.0,755.0
26342.589,758.0,746.0,752.0
26542.61,758.0,752.0,755.0
26742.565,751.0,746.0,748.5
26942.509,748.0,748.0,748.0
27143.65,744.0,737.0,740.5
27342.318,746.0,736.0,741.0
27542.282000000003,745.0,727.0,736.0
27742.234,724.0,742.0,733.0
27942.195,722.0,720.0,721.0
28143.307,724.0,728.0,726.0
28741.892000000003,710.0,705.0,707.5
28941.842999999997,712.0,710.0,711.0
29142.987,706.0,699.0,702.5
29341.656000000003,702.0,695.0,698.5
29541.612,700.0,694.0,697.0
29741.553,692.0,689.0,690.5
29941.514,691.0,686.0,688.5
30143.103,669.0,681.0,675.0
30341.308999999997,682.0,677.0,679.5
30925.287,663.0,673.0,668.0
31126.414,664.0,663.0,663.5
31325.089,657.0,661.0,659.0
31525.042,661.0,667.0,664.0
31724.94,657.0,656.0,656.5
31924.955,653.0,645.0,649.0
32126.076,640.0,653.0,646.5
32324.695,636.0,648.0,642.0
32524.714,639.0,635.0,637.0
32724.665,646.0,636.0,641.0
33125.748,631.0,636.0,633.5
33340.227999999996,629.0,630.0,629.5
33540.246,621.0,616.0,618.5
33740.204,606.0,619.0,612.5
33940.151,620.0,602.0,611.0
34141.278,597.0,607.0,602.0
34339.964,594.0,601.0,597.5
34539.922,595.0,589.0,592.0
34739.871,584.0,600.0,592.0
34939.811,593.0,588.0,590.5
35141.516,600.0,592.0,596.0
