Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
8014.654,804.0,812.0,808.0
8214.619,753.0,818.0,785.5
8414.518,792.0,808.0,800.0
8673.328000000001,800.0,810.0,805.0
8874.596,788.0,803.0,795.5
9073.282,778.0,793.0,785.5
9273.254,773.0,798.0,785.5
9473.138,773.0,778.0,775.5
9673.04,772.0,773.0,772.5
9874.266,770.0,758.0,764.0
10072.959,762.0,758.0,760.0
10414.106,752.0,748.0,750.0
10614.008,751.0,743.0,747.0
10815.36,737.0,750.0,743.5
11072.792,727.0,731.0,729.0
11272.76,721.0,711.0,716.0
11472.705,714.0,712.0,713.0
11672.589,692.0,701.0,696.5
11874.295,691.0,690.0,690.5
12072.493999999999,686.0,689.0,687.5
12272.376,680.0,682.0,681.0
12613.606000000002,675.0,673.0,674.0
12814.841,671.0,653.0,662.0
13013.452,667.0,665.0,666.0
13213.466999999999,641.0,653.0,647.0
13472.163999999999,634.0,651.0,642.5
13672.216999999999,637.0,637.0,637.0
13873.431999999999,630.0,630.0,630.0
14072.116000000002,615.0,630.0,622.5
14272.081,616.0,607.0,611.5
14472.033000000001,600.0,622.0,611.0
14671.925,598.0,606.0,602.0
15013.071000000002,588.0,589.0,588.5
15213.034,582.0,586.0,584.0
15412.969,575.0,588.0,581.5
15671.765,567.0,565.0,566.0
15873.0,573.0,569.0,571.0
16071.685,549.0,552.0,550.5
16271.559,547.0,548.0,547.5
16471.577,549.0,536.0,542.5
16671.45,542.0,541.0,541.5
16873.147,543.0,530.0,536.5
17071.349,535.0,538.0,536.5
17412.514,522.0,530.0,526.0
17612.465,521.0,504.0,512.5
17813.726000000002,508.0,504.0,506.0
18071.139,492.0,498.0,495.0
18271.096,498.0,507.0,502.5
18471.049,493.0,496.0,494.5
18671.002,492.0,480.0,486.0
18872.224,488.0,478.0,483.0
19070.832,469.0,484.0,476.5
19270.808,466.0,472.0,469.0
19611.951,464.0,449.0,456.5
19813.271,451.0,435.0,443.0
20011.943,424.0,427.0,425.5
20289.423,426.0,426.0,426.0
20470.531000000003,405.0,418.0,411.5
20670.589,403.0,413.0,408.0
20871.821,405.0,410.0,407.5
21070.496,392.0,404.0,398.0
21270.443,387.0,387.0,387.0
21470.407000000003,387.0,382.0,384.5
21670.313,377.0,386.0,381.5
22011.403,365.0,350.0,357.5
22211.41,357.0,361.0,359.0
22411.314,356.0,345.0,350.5
22670.119,341.0,340.0,340.5
22871.289,330.0,330.0,330.0
23070.026,318.0,321.0,319.5
23269.987999999998,320.0,319.0,319.5
23469.875,310.0,311.0,310.5
23669.826,302.0,301.0,301.5
23871.043999999998,290.0,293.0,291.5
24069.667999999998,282.0,285.0,283.5
24410.832000000002,274.0,273.0,273.5
24610.843999999997,268.0,264.0,266.0
24812.035,260.0,258.0,259.0
25069.414,254.0,253.0,253.5
25269.384,252.0,247.0,249.5
25469.317000000003,239.0,238.0,238.5
25669.279,229.0,231.0,230.0
25870.528,228.0,227.0,227.5
26069.181,216.0,216.0,216.0
26269.213,214.0,213.0,213.5
26610.299,205.0,201.0,203.0
26812.061,198.0,191.0,194.5
27010.224,187.0,187.0,187.0
27269.099,180.0,181.0,180.5
27468.887000000002,169.0,172.0,170.5
27668.726000000002,167.0,168.0,167.5
27869.953999999998,167.0,163.0,165.0
28068.702,162.0,157.0,159.5
28268.681,152.0,150.0,151.0
28468.583,144.0,143.0,143.5
28668.397,137.0,139.0,138.0
29009.617000000002,133.0,128.0,130.5
29209.514,131.0,123.0,127.0
29409.583,127.0,117.0,122.0
29668.062,109.0,110.0,109.5
29869.34,104.0,104.0,104.0
30067.981,100.0,100.0,100.0
30267.918999999998,97.0,95.0,96.0
30467.872000000003,85.0,88.0,86.5
30667.737,86.0,85.0,85.5
30868.957000000002,78.0,79.0,78.5
31067.692000000003,74.0,76.0,75.0
31408.792999999998,70.0,66.0,68.0
31608.807,64.0,60.0,62.0
31810.389,59.0,57.0,58.0
32067.305,50.0,51.0,50.5
32267.247000000003,46.0,47.0,46.5
32467.205,42.0,41.0,41.5
32667.064,34.0,35.0,34.5
32868.339,27.0,29.0,28.0
33066.973,24.0,25.0,24.5
33266.922999999995,22.0,21.0,21.5
33608.141,18.0,12.0,15.0
33809.254,14.0,11.0,12.5
34007.937999999995,8.0,11.0,9.5
34266.583,4.0,6.0,5.0
34466.542,0.0,0.0,0.0
34666.422,0.0,0.0,0.0
34867.63,0.0,0.0,0.0
35066.337,0.0,0.0,0.0
