Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
22082.887000000002,832.0,905.0,868.5
22284.043999999998,918.0,882.0,900.0
22482.667,882.0,877.0,879.5
22682.697,886.0,887.0,886.5
22882.671000000002,881.0,892.0,886.5
23082.621,872.0,881.0,876.5
23283.842999999997,865.0,884.0,874.5
23482.482000000004,870.0,869.0,869.5
24082.402000000002,832.0,853.0,842.5
24283.631,849.0,844.0,846.5
24482.307999999997,831.0,837.0,834.0
24682.262000000002,822.0,835.0,828.5
24882.209,820.0,817.0,818.5
25082.177000000003,810.0,818.0,814.0
25283.909,811.0,817.0,814.0
25482.127,810.0,794.0,802.0
25682.02,790.0,804.0,797.0
25882.029,787.0,795.0,791.0
26481.88,779.0,778.0,778.5
26681.835,768.0,769.0,768.5
26881.799,757.0,765.0,761.0
27081.735,742.0,744.0,743.0
27283.036,739.0,739.0,739.0
27481.632999999998,730.0,732.0,731.0
27681.585,723.0,739.0,731.0
27881.612999999998,728.0,721.0,724.5
28081.499,726.0,721.0,723.5
28282.682,707.0,712.0,709.5
28881.275,694.0,695.0,694.5
29081.221,686.0,693.0,689.5
29282.347,687.0,686.0,686.5
29480.972999999998,664.0,680.0,672.0
29680.99,671.0,668.0,669.5
29880.932999999997,659.0,669.0,664.0
30080.884,662.0,660.0,661.0
30282.474,643.0,657.0,650.0
30480.699,634.0,648.0,641.0
