Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
12154.545,831.0,828.0,829.5
12421.07,828.0,821.0,824.5
12622.357,828.0,830.0,829.0
12821.021999999999,828.0,823.0,825.5
13020.983,811.0,820.0,815.5
13220.876,805.0,813.0,809.0
13420.896,801.0,807.0,804.0
13622.136999999999,790.0,807.0,798.5
13954.165,791.0,781.0,786.0
14154.188,789.0,780.0,784.5
14354.152,774.0,781.0,777.5
14555.326000000001,772.0,764.0,768.0
14820.489,750.0,763.0,756.5
15020.505,754.0,759.0,756.5
15220.456,745.0,741.0,743.0
15420.398000000001,744.0,739.0,741.5
15622.061000000002,743.0,728.0,735.5
15820.271999999999,724.0,736.0,730.0
16020.22,723.0,722.0,722.5
16353.598,715.0,716.0,715.5
16554.849,713.0,704.0,708.5
16753.526,699.0,700.0,699.5
17020.019,692.0,690.0,691.0
17219.971,684.0,681.0,682.5
17419.926,681.0,689.0,685.0
17621.109,667.0,673.0,670.0
17819.816000000003,662.0,668.0,665.0
18019.697,663.0,667.0,665.0
18219.724,649.0,650.0,649.5
18419.681,636.0,0.0,318.0
18753.093,634.0,644.0,639.0
18953.042,640.0,633.0,636.5
19152.998,622.0,621.0,621.5
19419.478,610.0,617.0,613.5
19620.769,618.0,615.0,616.5
19819.391,601.0,609.0,605.0
20019.413,587.0,597.0,592.0
20219.358,588.0,599.0,593.5
20419.321,594.0,592.0,593.0
20620.911,573.0,586.0,579.5
20952.546000000002,568.0,579.0,573.5
21152.506,562.0,562.0,562.0
21352.385,570.0,569.0,569.5
21553.667999999998,555.0,551.0,553.0
21818.895,541.0,553.0,547.0
22018.853,545.0,542.0,543.5
22218.816000000003,532.0,542.0,537.0
22418.772,526.0,524.0,525.0
22619.999,503.0,522.0,512.5
22818.701,513.0,514.0,513.5
23018.589,491.0,504.0,497.5
23352.014,502.0,490.0,496.0
23553.293999999998,482.0,476.0,479.0
23751.979,478.0,470.0,474.0
24018.477000000003,469.0,462.0,465.5
24218.435,451.0,462.0,456.5
24418.398999999998,452.0,448.0,450.0
24619.592,435.0,452.0,443.5
24818.226000000002,436.0,439.0,437.5
25018.237999999998,436.0,422.0,429.0
25218.186,431.0,417.0,424.0
