Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
23023.306,1030.0,1055.0,1042.5
23223.237,1026.0,1049.0,1037.5
23423.218999999997,1049.0,1053.0,1051.0
24023.096,1042.0,1037.0,1039.5
24223.054,1039.0,1039.0,1039.0
24423.014,1020.0,1027.0,1023.5
24624.183999999997,1029.0,1029.0,1029.0
24822.849,1022.0,1022.0,1022.0
25022.817000000003,1016.0,1007.0,1011.5
25222.752999999997,995.0,1010.0,1002.5
25422.707000000002,1002.0,1000.0,1001.0
25623.881,989.0,997.0,993.0
25822.578999999998,981.0,974.0,977.5
26422.426,971.0,967.0,969.0
26624.131,955.0,954.0,954.5
26822.308999999997,953.0,944.0,948.5
27022.314,945.0,945.0,945.0
27222.259,931.0,933.0,932.0
27422.217,931.0,932.0,931.5
27623.467999999997,913.0,918.0,915.5
27822.142999999996,918.0,920.0,919.0
28022.051,904.0,901.0,902.5
28222.007,908.0,895.0,901.5
28821.851000000002,888.0,893.0,890.5
29021.814,882.0,880.0,881.0
29221.836,869.0,872.0,870.5
29421.786,862.0,869.0,865.5
29623.016,861.0,855.0,858.0
29821.711,856.0,848.0,852.0
30021.678,850.0,858.0,854.0
