Time Offset [ms],vehicle_velocity_left,vehicle_velocity_right,average_velocity
20532.835,958.0,955.0,956.5
20731.533,944.0,930.0,937.0
20931.502,943.0,939.0,941.0
21264.888,951.0,930.0,940.5
21466.147999999997,927.0,928.0,927.5
21664.827999999998,927.0,922.0,924.5
22131.23,905.0,913.0,909.0
22331.116,894.0,902.0,898.0
22532.372000000003,888.0,903.0,895.5
22731.052000000003,891.0,881.0,886.0
22931.011000000002,880.0,883.0,881.5
23130.891,871.0,875.0,873.0
23330.897,870.0,870.0,870.0
23664.334,860.0,872.0,866.0
23864.302000000003,863.0,859.0,861.0
24064.261000000002,858.0,839.0,848.5
24330.691000000003,843.0,846.0,844.5
24532.327999999998,832.0,841.0,836.5
24730.491,831.0,823.0,827.0
24930.45,812.0,826.0,819.0
25130.456000000002,810.0,810.0,810.0
25330.403,808.0,809.0,808.5
25531.675,792.0,804.0,798.0
25863.761000000002,797.0,795.0,796.0
26063.787,788.0,778.0,783.0
26263.68,787.0,778.0,782.5
26464.964,774.0,781.0,777.5
26730.151,760.0,773.0,766.5
26930.102000000003,753.0,769.0,761.0
